dataset_name,query,scientific_name,rank,target_class,match_type
ENA24,grey fox,urocyon cinereoargenteus,species,grey fox,species
Felidae Conservation Fund 2020-2025,gray fox,urocyon cinereoargenteus,species,grey fox,species
NACTI,urocyon cinereoargenteus,urocyon cinereoargenteus,species,grey fox,species
Oregon Critters,gray fox,urocyon cinereoargenteus,species,grey fox,species
WCS Camera Traps,urocyon cinereoargenteus,urocyon cinereoargenteus,species,grey fox,species
Idaho Camera Traps,wolf,canis lupus,species,grey wolf,species
NACTI,canis lupus,canis lupus,species,grey wolf,species
WSU Lynx,canis lupus,canis lupus,species,grey wolf,species
Biome Health Project Maasai Mara 2018,hare,lepus capensis,species,hares and jackrabbits genus,genus
California Small Animals,black-tailed jackrabbit,lepus californicus,species,hares and jackrabbits genus,genus
California Small Animals,lepus species,lepus,genus,hares and jackrabbits genus,genus
Desert Lion Conservation Camera Traps,lepus capensis,lepus capensis,species,hares and jackrabbits genus,genus
Felidae Conservation Fund 2020-2025,black-tailed jackrabbit,lepus californicus,species,hares and jackrabbits genus,genus
NACTI,lepus americanus,lepus americanus,species,hares and jackrabbits genus,genus
NACTI,lepus californicus,lepus californicus,species,hares and jackrabbits genus,genus
Nkhotakota Camera Traps,scrub_hare,lepus saxatilis,species,hares and jackrabbits genus,genus
Snapshot Camdeboo,harescrub,lepus saxatilis,species,hares and jackrabbits genus,genus
Snapshot Enonkishu,haresavannah,lepus victoriae,species,hares and jackrabbits genus,genus
Snapshot Karoo,hare,lepus,genus,hares and jackrabbits genus,genus
Snapshot Kgalagadi,harecape,lepus capensis,species,hares and jackrabbits genus,genus
Snapshot Kruger,hare,lepus,genus,hares and jackrabbits genus,genus
Snapshot Mountain Zebra,hare,lepus,genus,hares and jackrabbits genus,genus
Snapshot Safari 2024 Expansion,harecape,lepus capensis,species,hares and jackrabbits genus,genus
Snapshot Safari 2024 Expansion,haresavannah,lepus saxatilis,species,hares and jackrabbits genus,genus
Snapshot Safari 2024 Expansion,harescrub,lepus saxatilis,species,hares and jackrabbits genus,genus
Snapshot Safari 2024 Expansion,hareunknown,lepus,genus,hares and jackrabbits genus,genus
Snapshot Serengeti,hare,lepus,genus,hares and jackrabbits genus,genus
WCS Camera Traps,lepus saxatilis,lepus saxatilis,species,hares and jackrabbits genus,genus
WSU Lynx,lepus americanus,lepus americanus,species,hares and jackrabbits genus,genus
Wellington Camera Traps,hare,lepus,genus,hares and jackrabbits genus,genus
Biome Health Project Maasai Mara 2018,hartebeest_cokes,alcelaphus buselaphus cokii,subspecies,hartebeest,species
Snapshot Camdeboo,hartebeestred,alcelaphus buselaphus caama,subspecies,hartebeest,species
Snapshot Enonkishu,hartebeest,alcelaphus buselaphus,species,hartebeest,species
Snapshot Karoo,hartebeestred,alcelaphus buselaphus caama,subspecies,hartebeest,species
Snapshot Kgalagadi,hartebeestred,alcelaphus buselaphus caama,subspecies,hartebeest,species
Snapshot Mountain Zebra,hartebeestred,alcelaphus buselaphus caama,subspecies,hartebeest,species
Snapshot Safari 2024 Expansion,hartebeest,alcelaphus buselaphus,species,hartebeest,species
Snapshot Safari 2024 Expansion,hartebeestred,alcelaphus buselaphus caama,subspecies,hartebeest,species
Snapshot Serengeti,hartebeest,alcelaphus buselaphus,species,hartebeest,species
WCS Camera Traps,alcelaphus buselaphus,alcelaphus buselaphus,species,hartebeest,species
Trail Camera Images of New Zealand Animals,hedgehog,erinaceus europaeus europaeus,subspecies,hedgehog family,family
WCS Camera Traps,atelerix albiventris,atelerix albiventris,species,hedgehog family,family
Wellington Camera Traps,hedgehog,erinaceus europaeus,species,hedgehog family,family
Biome Health Project Maasai Mara 2018,hippopotamus,hippopotamus amphibius,species,hippopotamus,species
Snapshot Enonkishu,hippopotamus,hippopotamus amphibius,species,hippopotamus,species
Snapshot Kruger,hippopotamus,hippopotamus amphibius,species,hippopotamus,species
Snapshot Safari 2024 Expansion,hippopotamus,hippopotamus amphibius,species,hippopotamus,species
Snapshot Serengeti,hippopotamus,hippopotamus amphibius,species,hippopotamus,species
WCS Camera Traps,hippopotamus amphibius,hippopotamus amphibius,species,hippopotamus,species
SWG Camera Traps,hog_badger,arctonyx collaris,species,hog badger genus,genus
WCS Camera Traps,arctonyx collaris,arctonyx collaris,species,hog badger genus,genus
WCS Camera Traps,arctonyx hoevenii,arctonyx hoevenii,species,hog badger genus,genus
Desert Lion Conservation Camera Traps,mellivora capensis,mellivora capensis,species,honey badger,species
Nkhotakota Camera Traps,honey_badger,mellivora capensis,species,honey badger,species
Snapshot Kgalagadi,honeybadger,mellivora capensis,species,honey badger,species
Snapshot Safari 2024 Expansion,honeybadger,mellivora capensis,species,honey badger,species
Snapshot Serengeti,honeybadger,mellivora capensis,species,honey badger,species
WCS Camera Traps,mellivora capensis,mellivora capensis,species,honey badger,species
Orinoquia Camera Traps,unknown_howler_monkey,alouatta,genus,howler monkey genus,genus
WCS Camera Traps,alouatta sara,alouatta sara,species,howler monkey genus,genus
Channel Islands Camera Traps,human,homo sapiens,species,human,species
ENA24,human,homo sapiens,species,human,species
Idaho Camera Traps,human,homo sapiens,species,human,species
Island Conservation Camera Traps,human,homo sapiens,species,human,species
Nkhotakota Camera Traps,human,homo sapiens,species,human,species
Oregon Critters,human,homo sapiens,species,human,species
Orinoquia Camera Traps,human,homo sapiens,species,human,species
SWG Camera Traps,human,homo sapiens,species,human,species
Seattle(ish) Camera Traps,dan,homo sapiens,species,human,species
Snapshot Camdeboo,human,homo sapiens,species,human,species
Snapshot Enonkishu,human,homo sapiens,species,human,species
Snapshot Karoo,human,homo sapiens,species,human,species
Snapshot Kgalagadi,human,homo sapiens,species,human,species
Snapshot Kruger,human,homo sapiens,species,human,species
Snapshot Mountain Zebra,human,homo sapiens,species,human,species
Snapshot Serengeti,human,homo sapiens,species,human,species
Trail Camera Images of New Zealand Animals,human,homo sapiens,species,human,species
WCS Camera Traps,human,homo sapiens,species,human,species
Biome Health Project Maasai Mara 2018,impala,aepyceros melampus,species,impala,species
Nkhotakota Camera Traps,impala,aepyceros melampus,species,impala,species
Snapshot Enonkishu,impala,aepyceros melampus,species,impala,species
Snapshot Kruger,impala,aepyceros melampus,species,impala,species
Snapshot Safari 2024 Expansion,impala,aepyceros melampus,species,impala,species
Snapshot Serengeti,impala,aepyceros melampus,species,impala,species
WCS Camera Traps,aepyceros melampus,aepyceros melampus,species,impala,species
Orinoquia Camera Traps,jaguar,panthera onca,species,jaguar,species
WCS Camera Traps,panthera onca,panthera onca,species,jaguar,species
Trail Camera Images of New Zealand Animals,wallaby,notamacropus,genus,kangaroo family,family
WCS Camera Traps,potos flavus,potos flavus,species,kinkajou,species
Biome Health Project Maasai Mara 2018,dikdik,madoqua kirkii,species,kirk's dik-dik,species
Desert Lion Conservation Camera Traps,oreotragus oreotragus,oreotragus oreotragus,species,klipspringer,species
Nkhotakota Camera Traps,klipspringer,oreotragus oreotragus,species,klipspringer,species
Snapshot Camdeboo,klipspringer,oreotragus oreotragus,species,klipspringer,species
Snapshot Enonkishu,klipspringer,oreotragus oreotragus,species,klipspringer,species
Snapshot Karoo,klipspringer,oreotragus oreotragus,species,klipspringer,species
Snapshot Kruger,klipspringer,oreotragus oreotragus,species,klipspringer,species
Snapshot Mountain Zebra,klipspringer,oreotragus oreotragus,species,klipspringer,species
Snapshot Safari 2024 Expansion,klipspringer,oreotragus oreotragus,species,klipspringer,species
WCS Camera Traps,oreotragus oreotragus,oreotragus oreotragus,species,klipspringer,species
WCS Camera Traps,presbytis femoralis,presbytis femoralis,species,leaf monkeys genus,genus
WCS Camera Traps,presbytis sp,presbytis,genus,leaf monkeys genus,genus
WCS Camera Traps,presbytis thomasi,presbytis thomasi,species,leaf monkeys genus,genus
Biome Health Project Maasai Mara 2018,leopard,panthera pardus,species,leopard,species
Desert Lion Conservation Camera Traps,panthera pardus,panthera pardus,species,leopard,species
Nkhotakota Camera Traps,leopard,panthera pardus,species,leopard,species
Snapshot Enonkishu,leopard,panthera pardus,species,leopard,species
Snapshot Kgalagadi,leopard,panthera pardus,species,leopard,species
Snapshot Kruger,leopard,panthera pardus,species,leopard,species
Snapshot Mountain Zebra,leopard,panthera pardus,species,leopard,species
Snapshot Safari 2024 Expansion,leopard,panthera pardus,species,leopard,species
Snapshot Serengeti,leopard,panthera pardus,species,leopard,species
WCS Camera Traps,panthera pardus,panthera pardus,species,leopard,species
SWG Camera Traps,leopard_cat,prionailurus bengalensis,species,leopard cat,species
WCS Camera Traps,prionailurus bengalensis,prionailurus bengalensis,species,leopard cat,species
Orinoquia Camera Traps,margay,leopardus wiedii,species,leopardus species,genus
WCS Camera Traps,leopardus sp,leopardus,genus,leopardus species,genus
WCS Camera Traps,leopardus tigrinus,leopardus tigrinus,species,leopardus species,genus
WCS Camera Traps,leopardus weidii,leopardus wiedii,species,leopardus species,genus
WCS Camera Traps,leopardus wiedii,leopardus wiedii,species,leopardus species,genus
Biome Health Project Maasai Mara 2018,lion,panthera leo,species,lion,species
Biome Health Project Maasai Mara 2018,lion_female,panthera leo,species,lion,species
Biome Health Project Maasai Mara 2018,lion_male,panthera leo,species,lion,species
Desert Lion Conservation Camera Traps,panthera leo,panthera leo,species,lion,species
Snapshot Enonkishu,lionfemale,panthera leo,species,lion,species
Snapshot Enonkishu,lionmale,panthera leo,species,lion,species
Snapshot Karoo,lionfemale,panthera leo,species,lion,species
Snapshot Karoo,lionmale,panthera leo,species,lion,species
Snapshot Kgalagadi,lionfemale,panthera leo,species,lion,species
Snapshot Kruger,lionfemale,panthera leo,species,lion,species
Snapshot Mountain Zebra,lionfemale,panthera leo,species,lion,species
Snapshot Mountain Zebra,lionmale,panthera leo,species,lion,species
Snapshot Safari 2024 Expansion,lioncub,panthera leo,species,lion,species
Snapshot Safari 2024 Expansion,lionfemale,panthera leo,species,lion,species
Snapshot Safari 2024 Expansion,lionmale,panthera leo,species,lion,species
Snapshot Serengeti,lioncub,panthera leo,species,lion,species
Snapshot Serengeti,lionfemale,panthera leo,species,lion,species
Snapshot Serengeti,lionmale,panthera leo,species,lion,species
WCS Camera Traps,panthera leo,panthera leo,species,lion,species
Orinoquia Camera Traps,lowland_tapir,tapirus terrestris,species,lowland tapir,species
WCS Camera Traps,tapirus terrestris,tapirus terrestris,species,lowland tapir,species
WCS Camera Traps,lycalopex culpaeus,lycalopex culpaeus,species,lycalopex species,genus
SWG Camera Traps,assam_or_rhesus_macaque,macaca,genus,macaque species,genus
SWG Camera Traps,macaque_not_stump_tailed,macaca,genus,macaque species,genus
SWG Camera Traps,pig_tailed_macaque,macaca nemestrina,species,macaque species,genus
SWG Camera Traps,stump_tailed_macaque,macaca arctoides,species,macaque species,genus
SWG Camera Traps,unidentified_macaque,macaca,genus,macaque species,genus
WCS Camera Traps,macaca arctoides,macaca arctoides,species,macaque species,genus
WCS Camera Traps,macaca assamensis,macaca assamensis,species,macaque species,genus
WCS Camera Traps,macaca fascicularis,macaca fascicularis,species,macaque species,genus
WCS Camera Traps,macaca mulatta,macaca mulatta,species,macaque species,genus
WCS Camera Traps,macaca nemestrina,macaca nemestrina,species,macaque species,genus
WCS Camera Traps,tapirus indicus,tapirus indicus,species,malay tapir,species
WCS Camera Traps,cercocebus sanjei,cercocebus sanjei,species,mangabeys genus,genus
NACTI,martes americana,martes americana,species,martes species,genus
Oregon Critters,marten,martes americana,species,martes species,genus
SWG Camera Traps,yellow_throated_marten,martes flavigula,species,martes species,genus
WCS Camera Traps,martes flavigula,martes flavigula,species,martes species,genus
WSU Lynx,martes americana,martes americana,species,martes species,genus
Snapshot Camdeboo,meerkatsuricate,suricata suricatta,species,meerkat,species
Snapshot Karoo,meerkatsuricate,suricata suricatta,species,meerkat,species
Snapshot Kgalagadi,meerkatsuricate,suricata suricatta,species,meerkat,species
Snapshot Safari 2024 Expansion,meerkat,suricata suricatta,species,meerkat,species
Biome Health Project Maasai Mara 2018,mongoose_banded,mungos mungo,species,mongoose family,family
Biome Health Project Maasai Mara 2018,mongoose_other,herpestidae,family,mongoose family,family
Biome Health Project Maasai Mara 2018,mongoose_white_tailed,ichneumia albicauda,species,mongoose family,family
Desert Lion Conservation Camera Traps,galerella sanguinea,herpestes sanguineus,species,mongoose family,family
Nkhotakota Camera Traps,mongoose,herpestidae,family,mongoose family,family
SWG Camera Traps,crab_eating_mongoose,urva urva,species,mongoose family,family
Snapshot Camdeboo,mongooseegyptianlargegrey,herpestes ichneumon,species,mongoose family,family
Snapshot Camdeboo,mongooseyellow,cynictis penicillata,species,mongoose family,family
Snapshot Enonkishu,mongoose,herpestidae,family,mongoose family,family
Snapshot Karoo,mongoosesmallcapegrey,herpestes pulverulentus,species,mongoose family,family
Snapshot Karoo,mongooseyellow,cynictis penicillata,species,mongoose family,family
Snapshot Mountain Zebra,mongooseyellow,cynictis penicillata,species,mongoose family,family
Snapshot Safari 2024 Expansion,mongoose,herpestidae,family,mongoose family,family
Snapshot Safari 2024 Expansion,mongoosebanded,mungos mungo,species,mongoose family,family
Snapshot Safari 2024 Expansion,mongoosecapesmallgrey,herpestes pulverulentus,species,mongoose family,family
Snapshot Safari 2024 Expansion,mongoosedwarf,helogale parvula,species,mongoose family,family
Snapshot Safari 2024 Expansion,mongooseegyptianlargegrey,herpestes ichneumon,species,mongoose family,family
Snapshot Safari 2024 Expansion,mongooseslender,herpestes sanguineus,species,mongoose family,family
Snapshot Safari 2024 Expansion,mongoosesmallcapegrey,herpestes pulverulentus,species,mongoose family,family
Snapshot Safari 2024 Expansion,mongooseunknown,herpestidae,family,mongoose family,family
Snapshot Safari 2024 Expansion,mongoosewater,atilax paludinosus,species,mongoose family,family
Snapshot Safari 2024 Expansion,mongoosewatermarsh,atilax paludinosus,species,mongoose family,family
Snapshot Safari 2024 Expansion,mongoosewhitetailed,ichneumia albicauda,species,mongoose family,family
Snapshot Safari 2024 Expansion,mongooseyellow,cynictis penicillata,species,mongoose family,family
Snapshot Serengeti,mongoose,herpestidae,family,mongoose family,family
WCS Camera Traps,atilax paludinosus,atilax paludinosus,species,mongoose family,family
WCS Camera Traps,bdeogale crassicauda,bdeogale crassicauda,species,mongoose family,family
WCS Camera Traps,bdeogale jacksoni,bdeogale jacksoni,species,mongoose family,family
WCS Camera Traps,helogale parvula,helogale parvula,species,mongoose family,family
WCS Camera Traps,herpestes sanguineus,herpestes sanguineus,species,mongoose family,family
WCS Camera Traps,herpestes semitorquatus,urva semitorquata,species,mongoose family,family
WCS Camera Traps,herpestes urva,urva urva,species,mongoose family,family
WCS Camera Traps,ichneumia albicauda,ichneumia albicauda,species,mongoose family,family
WCS Camera Traps,mungos mungo,mungos mungo,species,mongoose family,family
California Small Animals,elk,alces alces,species,moose,species
Idaho Camera Traps,moose,alces alces americanus,subspecies,moose,species
NACTI,alces alces,alces alces,species,moose,species
WSU Lynx,alces alces,alces alces,species,moose,species
Missouri Camera Traps,mouflon,ovis ammon,species,mouflon,common_name
WSU Lynx,oreamnos americanus,oreamnos americanus,species,mountain goat,species
Desert Lion Conservation Camera Traps,equus zebra hartmannae,equus zebra hartmannae,subspecies,mountain zebra,species
Snapshot Camdeboo,zebramountain,equus zebra,species,mountain zebra,species
Snapshot Karoo,zebramountain,equus zebra,species,mountain zebra,species
Snapshot Mountain Zebra,zebramountain,equus zebra,species,mountain zebra,species
Snapshot Safari 2024 Expansion,zebramountain,equus zebra,species,mountain zebra,species
Felidae Conservation Fund 2020-2025,mule deer,odocoileus hemionus,species,mule deer,species
NACTI,odocoileus hemionus,odocoileus hemionus,species,mule deer,species
Oregon Critters,black-tailed deer,odocoileus hemionus,species,mule deer,species
Seattle(ish) Camera Traps,deer,odocoileus hemionus columbianus,subspecies,mule deer,species
WSU Lynx,odocoileus hemionus,odocoileus hemionus,species,mule deer,species
SWG Camera Traps,large_antlered_muntjac,muntiacus vuquangensis,species,muntjac genus,genus
SWG Camera Traps,red_muntjac,muntiacus muntjak,species,muntjac genus,genus
SWG Camera Traps,roosevelts_muntjac_group,muntiacus rooseveltorum,species,muntjac genus,genus
SWG Camera Traps,unidentified_muntjac,muntiacus,genus,muntjac genus,genus
WCS Camera Traps,muntiacus muntjak,muntiacus muntjak,species,muntjac genus,genus
WCS Camera Traps,muntiacus rooseveltorum,muntiacus rooseveltorum,species,muntjac genus,genus
WCS Camera Traps,muntiacus sp,muntiacus,genus,muntjac genus,genus
WCS Camera Traps,muntiacus vuquangensis,muntiacus vuquangensis,species,muntjac genus,genus
California Small Animals,house mouse,mus musculus,species,muridae family,family
California Small Animals,muridae family,muridae,family,muridae family,family
Missouri Camera Traps,wood_mouse,apodemus sylvaticus,species,muridae family,family
SWG Camera Traps,unidentified_murid,muridae,family,muridae family,family
Trail Camera Images of New Zealand Animals,mouse,mus,genus,muridae family,family
WCS Camera Traps,colomys goslingi,colomys goslingi,species,muridae family,family
WCS Camera Traps,deomys ferrugineus,deomys ferrugineus,species,muridae family,family
WCS Camera Traps,hybomys univittatus,hybomys univittatus,species,muridae family,family
WCS Camera Traps,hylomyscus stella,hylomyscus stella,species,muridae family,family
WCS Camera Traps,malacomys longipes,malacomys longipes,species,muridae family,family
WCS Camera Traps,mus minutoides,mus minutoides,species,muridae family,family
WCS Camera Traps,oenomys hypoxanthus,oenomys hypoxanthus,species,muridae family,family
WCS Camera Traps,praomys tullbergi,praomys tullbergi,species,muridae family,family
WCS Camera Traps,thamnomys venustus,thamnomys venustus,species,muridae family,family
WCS Camera Traps,unknown mouse or rat,muridae,family,muridae family,family
Wellington Camera Traps,mouse,mus,genus,muridae family,family
California Small Animals,muskrat,ondatra zibethicus,species,muskrat,species
NACTI,dasypus novemcinctus,dasypus novemcinctus,species,nine-banded armadillo,species
WCS Camera Traps,dasypus novemcinctus,dasypus novemcinctus,species,nine-banded armadillo,species
California Small Animals,north american porcupine,erethizon dorsatum,species,north american porcupine,species
Idaho Camera Traps,porcupine,erethizon dorsatum,species,north american porcupine,species
NACTI,erethizon dorsatum,erethizon dorsatum,species,north american porcupine,species
WSU Lynx,erethizon dorsatum,erethizon dorsatum,species,north american porcupine,species
Felidae Conservation Fund 2020-2025,river otter,lontra canadensis,species,north american river otter,species
NACTI,lontra canadensis,lontra canadensis,species,north american river otter,species
Seattle(ish) Camera Traps,otter,lontra canadensis,species,north american river otter,species
Trail Camera Images of New Zealand Animals,chamois,rupicapra rupicapra,species,northern chamois,species
California Small Animals,northern raccoon,procyon lotor,species,northern raccoon,species
Caltech Camera Traps,raccoon,procyon lotor,species,northern raccoon,species
ENA24,northern raccoon,procyon lotor,species,northern raccoon,species
Felidae Conservation Fund 2020-2025,raccoon,procyon lotor,species,northern raccoon,species
Idaho Camera Traps,raccoon,procyon lotor,species,northern raccoon,species
NACTI,procyon lotor,procyon lotor,species,northern raccoon,species
Ohio Small Animals,raccoon,procyon lotor,species,northern raccoon,species
Oregon Critters,northern raccoon,procyon lotor,species,northern raccoon,species
Seattle(ish) Camera Traps,raccoon,procyon lotor,species,northern raccoon,species
WCS Camera Traps,procyon lotor,procyon lotor,species,northern raccoon,species
WSU Lynx,procyon lotor,procyon lotor,species,northern raccoon,species
Snapshot Kruger,nyala,tragelaphus angasii,species,nyala,species
Snapshot Safari 2024 Expansion,nyala,tragelaphus angasii,species,nyala,species
Missouri Camera Traps,ocelot,leopardus pardalis,species,ocelot,species
Orinoquia Camera Traps,ocelot,leopardus pardalis,species,ocelot,species
WCS Camera Traps,leopardus pardalis,leopardus pardalis,species,ocelot,species
Biome Health Project Maasai Mara 2018,porcupine,hystrix africaeaustralis,species,old world porcupine family,family
Desert Lion Conservation Camera Traps,hystrix africaeaustralis,hystrix africaeaustralis,species,old world porcupine family,family
Nkhotakota Camera Traps,cape_porcupine,hystrix africaeaustralis,species,old world porcupine family,family
SWG Camera Traps,asiatic_brush_tailed_porcupine,atherurus macrourus,species,old world porcupine family,family
SWG Camera Traps,malayan_porcupine,hystrix brachyura,species,old world porcupine family,family
Snapshot Camdeboo,porcupine,hystrix africaeaustralis,species,old world porcupine family,family
Snapshot Enonkishu,porcupine,hystrix cristata,species,old world porcupine family,family
Snapshot Karoo,porcupine,hystrix africaeaustralis,species,old world porcupine family,family
Snapshot Kgalagadi,porcupine,hystrix africaeaustralis,species,old world porcupine family,family
Snapshot Kruger,porcupine,hystrix africaeaustralis,species,old world porcupine family,family
Snapshot Mountain Zebra,porcupine,hystrix africaeaustralis,species,old world porcupine family,family
Snapshot Safari 2024 Expansion,porcupine,hystrix cristata,species,old world porcupine family,family
Snapshot Serengeti,porcupine,hystrix cristata,species,old world porcupine family,family
WCS Camera Traps,atherurus africanus,atherurus africanus,species,old world porcupine family,family
WCS Camera Traps,atherurus macrourus,atherurus macrourus,species,old world porcupine family,family
WCS Camera Traps,hystrix africaeaustralis,hystrix africaeaustralis,species,old world porcupine family,family
WCS Camera Traps,hystrix brachyura,hystrix brachyura,species,old world porcupine family,family
WCS Camera Traps,hystrix cristata,hystrix cristata,species,old world porcupine family,family
WCS Camera Traps,trichys fasciculata,trichys fasciculata,species,old world porcupine family,family
WCS Camera Traps,unknown porcupine,hystricidae,family,old world porcupine family,family
California Small Animals,virginia opossum,didelphis virginiana,species,opossum family,family
Caltech Camera Traps,opossum,didelphis virginiana,species,opossum family,family
ENA24,virginia opossum,didelphis virginiana,species,opossum family,family
Felidae Conservation Fund 2020-2025,virginia opossum,didelphis virginiana,species,opossum family,family
Missouri Camera Traps,common_opossum,didelphis marsupialis,species,opossum family,family
NACTI,didelphis virginiana,didelphis virginiana,species,opossum family,family
Ohio Small Animals,virginia_opossum,didelphis virginiana,species,opossum family,family
Oregon Critters,virginia opossum,didelphis virginiana,species,opossum family,family
Seattle(ish) Camera Traps,possum,didelphis virginiana,species,opossum family,family
WCS Camera Traps,didelphis imperfecta,didelphis imperfecta,species,opossum family,family
WCS Camera Traps,didelphis marsupialis,didelphis marsupialis,species,opossum family,family
WCS Camera Traps,didelphis pernigra,didelphis pernigra,species,opossum family,family
WCS Camera Traps,didelphis sp,didelphis,genus,opossum family,family
WCS Camera Traps,didelphis virginiana,didelphis virginiana,species,opossum family,family
WCS Camera Traps,lutreolina crassicaudata,lutreolina crassicaudata,species,opossum family,family
WCS Camera Traps,metachirus nudicaudatus,metachirus nudicaudatus,species,opossum family,family
WCS Camera Traps,metachirus nudicudatus,metachirus nudicaudatus,species,opossum family,family
WCS Camera Traps,philander opossum,philander opossum,species,opossum family,family
WCS Camera Traps,philander oppossum,philander opossum,species,opossum family,family
SWG Camera Traps,pangolin,manis,genus,pangolin family,family
Snapshot Safari 2024 Expansion,pangolin,manidae,family,pangolin family,family
Snapshot Serengeti,pangolin,manidae,family,pangolin family,family
WCS Camera Traps,manis javanica,manis javanica,species,pangolin family,family
WCS Camera Traps,erythrocebus patas,erythrocebus patas,species,patas monkey,species
Biome Health Project Maasai Mara 2018,zebra,equus quagga burchellii,subspecies,plains zebra,species
Nkhotakota Camera Traps,plains_zebra,equus quagga,species,plains zebra,species
Snapshot Enonkishu,zebra,equus quagga,species,plains zebra,species
Snapshot Karoo,zebraburchells,equus quagga burchellii,subspecies,plains zebra,species
Snapshot Kruger,zebraburchells,equus quagga burchellii,subspecies,plains zebra,species
Snapshot Mountain Zebra,zebraburchells,equus quagga burchellii,subspecies,plains zebra,species
Snapshot Safari 2024 Expansion,zebraburchells,equus quagga burchellii,subspecies,plains zebra,species
Snapshot Safari 2024 Expansion,zebraplains,equus quagga,species,plains zebra,species
Snapshot Serengeti,zebra,equus quagga,species,plains zebra,species
WCS Camera Traps,equus quagga,equus quagga,species,plains zebra,species
Idaho Camera Traps,pronghorn,antilocapra americana,species,pronghorn,species
Caltech Camera Traps,mountain_lion,puma concolor,species,puma,species
Felidae Conservation Fund 2020-2025,puma,puma concolor,species,puma,species
Idaho Camera Traps,mountain lion,puma concolor,species,puma,species
NACTI,puma concolor,puma concolor,species,puma,species
Oregon Critters,cougar,puma concolor,species,puma,species
Orinoquia Camera Traps,puma,puma,genus,puma,common_name
WCS Camera Traps,puma concolor,puma concolor,species,puma,species
WSU Lynx,puma concolor,puma concolor,species,puma,species
California Small Animals,brown rat,rattus norvegicus,species,rattus genus,genus
California Small Animals,house rat,rattus rattus,species,rattus genus,genus
California Small Animals,rattus species,rattus,genus,rattus genus,genus
Island Conservation Camera Traps,rat,rattus,genus,rattus genus,genus
Missouri Camera Traps,spiny_rat,rattus praetor,species,rattus genus,genus
NACTI,rattus rattus,rattus rattus,species,rattus genus,genus
Ohio Small Animals,brown_rat,rattus norvegicus,species,rattus genus,genus
Trail Camera Images of New Zealand Animals,rat,rattus,genus,rattus genus,genus
WCS Camera Traps,rattus rattus,rattus rattus,species,rattus genus,genus
WCS Camera Traps,rattus tiomanicus sabae,rattus tiomanicus,species,rattus genus,genus
WCS Camera Traps,unknown rat,rattus,genus,rattus genus,genus
Wellington Camera Traps,norway rat,rattus norvegicus,species,rattus genus,genus
Wellington Camera Traps,rat,rattus,genus,rattus genus,genus
Wellington Camera Traps,ship rat,rattus rattus,species,rattus genus,genus
Missouri Camera Traps,red_brocket_deer,mazama americana,species,red brocket,species
Orinoquia Camera Traps,red_brocket_deer,mazama americana,species,red brocket,species
WCS Camera Traps,mazama americana,mazama americana,species,red brocket,species
Missouri Camera Traps,red_deer,cervus elaphus,species,red deer,species
NACTI,cervus elaphus,cervus elaphus,species,red deer,species
ENA24,red fox,vulpes vulpes,species,red fox,species
Felidae Conservation Fund 2020-2025,red fox,vulpes vulpes,species,red fox,species
Missouri Camera Traps,red_fox,vulpes vulpes,species,red fox,species
NACTI,vulpes vulpes,vulpes vulpes,species,red fox,species
Oregon Critters,red fox,vulpes vulpes,species,red fox,species
UNSW Predators,fox,vulpes vulpes,species,red fox,species
Missouri Camera Traps,red_squirrel,tamiasciurus hudsonicus,species,red squirrel,species
NACTI,tamiasciurus hudsonicus,tamiasciurus hudsonicus,species,red squirrel,species
Biome Health Project Maasai Mara 2018,reedbuck,redunca arundinum,species,reedbuck genus,genus
Nkhotakota Camera Traps,southern_reedbuck,redunca arundinum,species,reedbuck genus,genus
Snapshot Camdeboo,reedbuckmountain,redunca fulvorufula,species,reedbuck genus,genus
Snapshot Karoo,reedbuckmountain,redunca fulvorufula,species,reedbuck genus,genus
Snapshot Kruger,reedbuck,redunca,genus,reedbuck genus,genus
Snapshot Mountain Zebra,reedbuckmountain,redunca fulvorufula,species,reedbuck genus,genus
Snapshot Safari 2024 Expansion,reedbuck,redunca,genus,reedbuck genus,genus
Snapshot Safari 2024 Expansion,reedbuckmountain,redunca fulvorufula,species,reedbuck genus,genus
Snapshot Serengeti,reedbuck,redunca,genus,reedbuck genus,genus
Desert Lion Conservation Camera Traps,diceros bicornis,diceros bicornis,species,rhinoceros family,family
Snapshot Enonkishu,rhinoceros,rhinocerotidae,family,rhinoceros family,family
Snapshot Karoo,rhinocerosblack,diceros bicornis,species,rhinoceros family,family
Snapshot Kruger,rhinoceros,rhinocerotidae,family,rhinoceros family,family
Snapshot Mountain Zebra,rhinocerosblack,diceros bicornis,species,rhinoceros family,family
Snapshot Mountain Zebra,rhinoceroswhite,ceratotherium simum,species,rhinoceros family,family
Snapshot Safari 2024 Expansion,rhinocerosblack,diceros bicornis,species,rhinoceros family,family
Snapshot Safari 2024 Expansion,rhinocerosunknown,rhinocerotidae,family,rhinoceros family,family
Snapshot Safari 2024 Expansion,rhinoceroswhite,ceratotherium simum,species,rhinoceros family,family
Snapshot Serengeti,rhinoceros,rhinocerotidae,family,rhinoceros family,family
WCS Camera Traps,ceratotherium simum,ceratotherium simum,species,rhinoceros family,family
WCS Camera Traps,dicerorhinus sumatrensis,dicerorhinus sumatrensis,species,rhinoceros family,family
WCS Camera Traps,diceros bicornis,diceros bicornis,species,rhinoceros family,family
